ts_ms,cpu_pct,rss_kb
1775050747296,17.4,112368
1775050748347,15.5,112368
1775050749387,8.4,112368
1775050750448,10.4,112368
1775050751506,9.3,112368
1775050752558,13.3,112368
1775050753605,19.3,112368
1775050754661,9.0,112368
1775050755708,5.9,112368
1775050756763,9.5,112368
1775050757814,16.5,112368
1775050758875,16.9,112368
1775050759929,8.7,112368
1775050760975,7.9,112368
1775050762031,17.0,112368
1775050763076,17.2,112368
1775050764130,14.3,112368
1775050765186,9.2,112368
1775050766234,8.1,112256
1775050767280,16.0,112240
1775050768324,15.5,112224
1775050769375,18.1,112224
1775050770445,8.2,112240
1775050771494,7.8,112240
1775050772549,18.0,112240
1775050773602,16.3,112240
1775050774655,17.3,112240
1775050775717,9.8,112240
1775050776770,8.4,112240
1775050777816,18.3,112240
1775050778867,20.4,112240
1775050779922,17.9,112272
1775050780979,9.1,112272
1775050782025,10.4,112272
1775050783069,20.2,112272
1775050784120,17.6,112272
1775050785163,15.8,112272
1775050786221,12.2,112272
1775050787265,11.0,112272
1775050788312,14.2,112272
1775050789358,14.0,112272
1775050790413,13.3,112272
1775050791462,11.3,112272
1775050792510,13.6,112288
1775050793555,11.8,112288
1775050794608,18.0,112288
1775050795657,16.9,112336
1775050796701,14.5,112336
1775050797751,11.2,112336
1775050798815,12.2,112336
1775050799876,14.8,112336
1775050800926,15.5,112336
1775050801972,12.3,112336
1775050803031,8.8,112336
1775050804086,12.8,112336
1775050805135,12.7,112336
1775050806178,10.0,112368
1775050807224,14.9,112368
1775050808278,17.0,112368
1775050809326,17.7,112368
1775050810376,10.5,112384
1775050811432,10.9,112384
1775050812491,13.0,112384
1775050813555,11.5,112384
1775050814607,9.5,112384
1775050815662,10.1,112384
1775050816714,12.9,112384
1775050817776,17.1,112384
1775050818823,18.1,112384
1775050819887,8.1,112400
1775050820947,13.7,112400
1775050821994,13.5,112400
1775050823047,15.7,112400
1775050824086,17.3,112400
1775050825131,7.9,112400
1775050826177,10.9,112400
1775050827216,11.4,112400
1775050828270,16.6,112400
1775050829316,17.2,112400
1775050830374,9.1,112400
1775050831478,8.1,105232
1775050832533,12.7,104848
1775050833581,15.2,104672
1775050834622,18.2,104672
1775050835684,10.4,104672
1775050836746,10.5,104672
1775050837802,15.8,104672
1775050838859,16.8,104672
1775050839910,11.1,104672
1775050840960,9.8,104672
1775050842027,14.9,104672
1775050843075,18.9,104672
1775050844126,17.3,104672
1775050845173,10.3,104672
1775050846221,8.8,104672
1775050847265,10.9,104672
1775050848319,16.0,104608
1775050849374,15.0,104608
1775050850432,9.4,104576
1775050851489,8.4,104528
1775050852533,12.0,104512
1775050853581,17.5,104512
1775050854626,18.8,104528
1775050855688,8.6,104624
1775050856730,10.2,104624
1775050857776,8.8,104624
1775050858829,14.8,104624
1775050859881,16.8,104624
1775050860936,11.5,104624
1775050861982,8.4,104624
1775050863028,8.3,104624
1775050864068,13.1,104640
1775050865124,14.9,104640
1775050866175,9.5,104640
1775050867221,8.4,104640
1775050868274,10.1,104640
1775050869320,17.2,104640
1775050870372,16.8,104640
1775050871420,15.5,104640
1775050872461,11.8,104640
1775050873515,11.6,104640
1775050874564,13.8,104640
1775050875612,13.9,104640
1775050876666,18.1,104656
1775050877709,13.1,104656
1775050878762,12.6,104656
1775050879807,13.6,104656
1775050880853,15.1,104656
1775050881896,13.4,104656
1775050882930,14.2,104656
1775050883978,11.9,104656
1775050885028,18.2,104656
1775050886078,15.2,104656
1775050887130,12.8,104656
1775050888170,11.2,104656
1775050889218,13.0,104656
1775050890265,16.9,104656
1775050891309,17.7,104656
1775050892362,10.1,104656
1775050893426,10.5,104656
1775050894483,12.7,104656
1775050895533,17.0,104656
1775050896580,17.6,104656
1775050897630,12.2,104656
1775050898688,13.6,104656
1775050899733,12.0,104656
1775050900789,15.7,104656
1775050901842,19.8,104656
1775050902896,12.6,104656
1775050903964,8.1,104656
1775050905032,15.2,104656
1775050906076,16.9,104656
1775050907133,10.3,104656
1775050908199,9.3,104656
1775050909249,14.2,104656
1775050910308,11.9,104656
1775050911380,8.1,104656
1775050912433,10.0,104656
1775050913495,13.9,104496
1775050914557,14.8,104528
1775050915607,10.7,104624
1775050916663,9.4,104624
1775050917732,9.0,104656
1775050918788,17.1,104656
1775050919840,19.9,104656
1775050920897,8.0,104672
1775050921955,10.5,104672
1775050923012,11.6,104672
1775050924064,15.3,104672
1775050925111,15.8,104672
1775050926161,9.5,104672
1775050927228,9.4,104672
1775050928280,14.2,104672
1775050929324,16.2,104672
1775050930396,16.7,104672
1775050931460,7.5,104640
1775050932518,10.2,104672
1775050933573,16.2,104672
1775050934619,19.2,104672
1775050935684,10.5,104672
1775050936747,9.0,104672
1775050937802,16.1,104672
1775050938844,15.1,104672
1775050939903,15.0,104672
1775050940969,9.5,104672
1775050942025,10.0,104656
1775050943066,20.3,104656
1775050944113,15.2,104656
1775050945160,19.1,104672
1775050946218,11.3,104672
1775050947276,10.3,104688
1775050948328,16.1,104688
1775050949381,15.7,104688
1775050950454,8.8,104688
1775050951520,11.0,104688
1775050952574,13.3,104688
1775050953629,12.9,104688
1775050954690,8.1,104688
1775050955751,15.4,104688
1775050956813,15.5,104688
1775050957857,13.4,104688
1775050958913,14.0,104688
1775050959980,10.5,104688
1775050961040,17.1,104688
1775050962105,15.2,104688
1775050963150,11.8,104688
1775050964203,13.3,104688
1775050965255,15.0,104688
1775050966303,14.6,104688
1775050967352,10.2,104688
1775050968407,11.2,104688
1775050969448,9.4,104688
1775050970522,15.1,104688
1775050971568,15.0,104688
1775050972622,14.8,104688
1775050973680,8.8,104688
1775050974744,15.4,104688
1775050975796,15.8,104688
1775050976856,10.7,104688
1775050977916,10.2,104688
1775050978977,10.8,104688
1775050980049,13.2,104688
1775050981108,16.8,104688
1775050982157,11.5,104688
1775050983221,10.3,104688
1775050984265,15.8,104688
1775050985313,16.1,104688
1775050986371,10.1,104688
1775050987441,8.4,104688
1775050988513,14.6,104688
1775050989560,14.3,104688
1775050990611,14.5,104688
1775050991662,8.4,104688
1775050992726,8.2,104688
1775050993794,18.7,104688
1775050995021,12.2,104640
1775050996255,9.2,104480
1775050997313,13.0,104496
1775050998372,16.9,104496
1775050999435,8.1,104480
1775051000499,9.2,104480
1775051001558,12.8,104560
1775051002608,11.0,104560
1775051003672,8.1,104560
1775051004738,11.4,104560
1775051005800,15.6,104624
1775051006868,14.0,104624
1775051007930,11.1,104624
1775051008996,12.4,104624
1775051010043,16.3,104624
1775051011104,17.2,104624
1775051012162,11.0,104624
1775051013217,10.0,104624
1775051014264,9.7,104624
1775051015311,12.7,104624
1775051016366,15.9,104624
1775051017424,9.6,104624
1775051018480,9.0,104624
1775051019537,8.5,104624
1775051020592,15.0,104624
1775051021642,17.2,104624
1775051022714,9.6,104640
1775051023761,11.4,104640
1775051024813,19.6,104640
1775051025865,15.4,104640
1775051026915,13.7,104640
1775051027965,12.1,104640
1775051029024,14.3,104640
1775051030077,14.8,104640
1775051031122,15.7,104640
1775051032171,14.4,104640
1775051033227,11.8,104640
1775051034288,13.6,104640
1775051035334,12.3,104640
1775051036389,11.2,104640
1775051037443,14.2,104640
1775051038511,13.9,104640
1775051039566,12.7,104640
1775051040612,11.4,104640
1775051041673,8.8,104640
1775051042729,12.4,104640
1775051043781,15.8,104640
1775051044834,18.2,104640
1775051045896,11.6,104640
1775051046958,9.4,104640
1775051048003,15.8,104640
1775051049055,19.8,104640
1775051050109,8.2,104640
1775051051155,9.5,104640
1775051052213,10.6,104640
1775051053265,13.9,104640
1775051054323,14.7,104640
1775051055378,8.1,104640
1775051056448,7.2,104640
1775051057514,17.0,104640
1775051058559,16.7,104640
1775051059609,12.0,104640
1775051060664,8.2,104640
1775051061721,14.3,104640
1775051062779,18.4,104640
1775051063832,16.2,104640
1775051064890,10.2,104640
1775051065942,9.1,104640
1775051066997,9.2,104640
1775051068049,14.2,104640
1775051069091,18.0,104640
1775051070151,9.5,104640
1775051071203,9.7,104640
1775051072254,10.7,104640
1775051073309,16.3,104640
1775051074360,15.6,104640
1775051075411,7.3,104640
1775051076536,10.6,104480
1775051077619,15.0,104496
1775051078675,9.7,104544
1775051079731,8.4,104560
1775051080780,9.3,104544
1775051081834,16.2,104544
1775051082894,16.8,104544
1775051083954,10.5,104544
1775051085001,9.3,104544
1775051086060,14.7,104544
1775051087117,16.2,104544
1775051088160,16.0,104544
1775051089224,11.0,104544
1775051090282,9.9,104544
1775051091329,12.3,104544
1775051092382,15.0,104560
1775051093451,9.1,104544
1775051094520,10.4,104432
1775051095574,13.7,104496
1775051096622,11.1,104464
1775051097670,13.3,104464
1775051098727,10.2,104464
1775051099781,9.5,104464
1775051100841,12.5,104416
1775051101905,10.8,104384
1775051102966,12.1,104384
1775051104026,11.6,104384
1775051105088,15.6,104384
1775051106138,15.9,104384
1775051107211,11.6,104384
1775051108274,15.0,104384
1775051109333,15.5,104384
1775051110390,10.0,104384
1775051111440,12.0,104384
1775051112513,12.3,104384
1775051113556,15.7,104384
1775051114606,14.5,104384
1775051115651,11.8,104384
1775051116706,13.7,104384
1775051117756,16.1,104384
1775051118814,17.4,104384
1775051119872,11.1,104384
1775051120922,13.4,104384
1775051121985,16.2,104384
1775051123053,11.8,104384
1775051124113,12.2,104384
1775051125181,13.4,104384
1775051126240,15.2,104384
1775051127293,16.2,104384
1775051128337,13.2,104384
1775051129396,8.9,104384
1775051130475,8.9,104384
1775051131516,13.7,104384
1775051132566,15.6,104384
1775051133627,10.0,104384
1775051134687,11.0,104384
1775051135750,9.1,104384
1775051136801,15.8,104384
1775051137852,19.6,104384
1775051138915,9.2,104384
1775051139966,9.0,104384
1775051141030,19.2,104384
1775051142082,12.9,104384
1775051143129,17.2,104384
1775051144186,9.4,104384
1775051145244,11.2,104384
1775051146297,13.1,104384
1775051147354,17.0,104384
1775051148408,9.1,104384
1775051149461,7.9,104384
1775051150525,8.4,104384
1775051151574,11.9,104384
1775051152624,17.0,104384
1775051153681,8.9,104384
1775051154729,10.3,104384
1775051155789,19.7,104384
1775051156847,14.6,104384
1775051157905,17.3,104384
1775051158956,9.0,104384
1775051160128,7.9,104368
1775051161451,9.5,104304
1775051162514,7.1,104304
1775051163568,16.2,104320
1775051164614,18.5,104320
1775051165679,7.5,104320
1775051166748,10.5,104320
1775051167811,17.1,104320
1775051168871,14.9,104320
1775051169943,11.1,104320
1775051171000,12.0,104320
1775051172054,14.1,104320
1775051173113,14.9,104320
1775051174160,16.0,104320
1775051175222,12.1,104320
1775051176276,13.6,104320
1775051177344,12.1,104320
1775051178404,11.5,104320
1775051179468,13.5,104320
1775051180537,14.8,104320
1775051181582,13.4,104336
1775051182626,12.7,104336
1775051183687,13.5,104336
1775051184753,15.6,104336
1775051185800,14.1,104400
1775051186843,17.1,104400
1775051187897,10.1,104400
1775051188975,11.0,104400
1775051190038,16.1,104400
1775051191102,16.9,104400
1775051192145,8.1,104400
1775051193195,10.3,104400
1775051194252,16.0,104400
1775051195307,15.4,104400
1775051196378,7.3,104400
1775051197441,9.8,104400
1775051198503,13.0,104400
1775051199545,15.9,104400
1775051200611,20.2,104400
1775051201683,11.5,104400
1775051202729,8.1,104400
1775051203792,15.6,104400
1775051204853,19.9,104400
1775051205909,9.1,104400
1775051206967,9.2,104400
